,favourites_count,Count
0,1,11
1,4,10
2,0,7
3,3,7
4,7,6
5,2,6
6,8,6
7,5,6
8,6,6
9,92,5
10,94,5
11,57,4
12,10,4
13,12,4
14,85,4
15,30,4
16,43,4
17,11,3
18,34,3
19,39,3
20,29,3
21,27,3
22,19,3
23,22,3
24,20,3
25,172,3
26,17,3
27,64,3
28,62,3
29,14,3
30,13,3
31,1015,3
32,71,2
33,883,2
34,72,2
35,81,2
36,152,2
37,60,2
38,359,2
39,500,2
40,155,2
41,154,2
42,153,2
43,55,2
44,99,2
45,148,2
46,142,2
47,282,2
48,175,2
49,115,2
50,32,2
51,123,2
52,109,2
53,90,2
54,273,2
55,65,2
56,49,2
57,207,2
58,44,2
59,977,2
60,42,2
61,28,2
62,25,2
63,228,2
64,40,2
65,15,2
66,52,2
67,201,1
68,10391,1
69,712,1
70,157,1
71,1220,1
72,657,1
73,33432,1
74,546,1
75,5322,1
76,141,1
77,2351,1
78,1741,1
79,5259,1
80,6009,1
81,251,1
82,11982,1
83,1743,1
84,1160,1
85,135,1
86,51,1
87,134,1
88,1157,1
89,1838,1
90,9395,1
91,27275,1
92,219,1
93,692,1
94,690,1
95,2208,1
96,307,1
97,5302,1
98,687,1
99,131,1
100,173,1
101,8891,1
102,612,1
103,10922,1
104,1316,1
105,2236,1
106,168,1
107,189,1
108,1197,1
109,677,1
110,164,1
111,74,1
112,133,1
113,161,1
114,982,1
115,335,1
116,191,1
117,66091,1
118,132,1
119,100,1
120,130,1
121,129,1
122,1095,1
123,1606,1
124,69,1
125,68,1
126,67,1
127,17948,1
128,26685,1
129,63,1
130,3637,1
131,1075,1
132,50,1
133,561,1
134,559,1
135,9774,1
136,45,1
137,41,1
138,12955,1
139,37,1
140,36,1
141,547,1
142,2081,1
143,889,1
144,31,1
145,24,1
146,1045,1
147,2067,1
148,18,1
149,16,1
150,2571,1
151,2634,1
152,3776,1
153,76,1
154,2163,1
155,1052,1
156,637,1
157,124,1
158,122,1
159,1143,1
160,117,1
161,4212,1
162,114,1
163,1137,1
164,3693,1
165,107,1
166,769,1
167,103,1
168,613,1
169,522,1
170,562,1
171,33,1
172,97,1
173,377,1
174,101,1
175,93,1
176,557,1
177,89,1
178,2135,1
179,83,1
180,82,1
181,80,1
182,79,1
183,1372,1
184,5162,1
185,3797,1
186,7576,1
187,2951,1
188,25629,1
189,907,1
190,1545,1
191,53,1
192,651,1
193,3203,1
194,528,1
195,1433,1
196,1750,1
197,722,1
198,927,1
199,416,1
200,475,1
201,933,1
202,423,1
203,425,1
204,426,1
205,390,1
206,898,1
207,41906,1
208,895,1
209,340238,1
210,1329,1
211,353,1
212,866,1
213,357,1
214,360,1
215,4457,1
216,24350,1
217,366,1
218,879,1
219,1394,1
220,259,1
221,886,1
222,375,1
223,48520,1
224,893,1
225,408,1
226,427,1
227,8818,1
228,1967,1
229,10203,1
230,4202,1
231,479,1
232,11232,1
233,731,1
234,1179,1
235,854,1
236,7144,1
237,489,1
238,9881,1
239,6635,1
240,3565,1
241,3775,1
242,1008,1
243,10915,1
244,2034,1
245,502,1
246,505,1
247,1539,1
248,985,1
249,5042,1
250,472,1
251,693,1
252,1086,1
253,10169,1
254,1470,1
255,2853,1
256,2497,1
257,450,1
258,453,1
259,106,1
260,8733,1
261,3136,1
262,1485,1
263,361,1
264,1651,1
265,18898,1
266,981,1
267,311,1
268,19294,1
269,2250,1
270,13065,1
271,1779,1
272,246,1
273,247,1
274,248,1
275,249,1
276,1275,1
277,764,1
278,145,1
279,21055,1
280,18027,1
281,257,1
282,1282,1
283,2819,1
284,8704,1
285,9718,1
286,263,1
287,534,1
288,2827,1
289,337,1
290,242,1
291,13611,1
292,756,1
293,192,1
294,5338,1
295,2267,1
296,615,1
297,2269,1
298,734,1
299,11025,1
300,6828,1
301,8418,1
302,1251,1
303,25317,1
304,20711,1
305,227,1
306,233,1
307,235,1
308,1260,1
309,240,1
310,8460,1
311,42766,1
312,343,1
313,1966,1
314,312,1
315,6969,1
316,1339,1
317,316,1
318,3390,1
319,554,1
320,3395,1
321,206,1
322,3910,1
323,327,1
324,2378,1
325,1177,1
326,336,1
327,849,1
328,3410,1
329,5461,1
330,3414,1
331,196,1
332,306,1
333,272,1
334,2353,1
335,1645,1
336,275,1
337,276,1
338,277,1
339,5399,1
340,793,1
341,3291,1
342,287,1
343,256,1
344,2338,1
345,11044,1
346,4904,1
347,5417,1
348,6443,1
349,47406,1
350,303,1
351,15664,1
352,3807,1
