,Location,Count
0,,249
1,"Bangkok, Thailand",39
2,Thailand,29
3,"กรุงเทพมหานคร, ประเทศไทย",16
4,ประเทศไทย,15
5,Bangkok,6
6,Japan,4
7,"Hat Yai, Thailand",2
8,"Nonthaburi, Thailand",2
9,"Khon Kaen, Thailand",2
10,"Bang Khen, Bangkok",2
11,日本 東京,2
12,"Bangkok,Thailand",2
13,"Changwat Si Sa Ket, Thailand",2
14,"Chiang Mai, Thailand",2
15,Bangkok Thailand,1
16,อ.ชะอํา ต.ชะอํา จ.เพชรบุรี,1
17,"Indonesia,Jawa Timur,Gresik.",1
18,Hell,1
19,On top of the world,1
20,"Maha Sarakham, Thailand",1
21,"Chanthaburi, Thailand",1
22,"อ.บางบัวทอง, จ.นนทบุรี",1
23,"8894 카이훈 , 6104 찬백 , 0412 백도",1
24,52Hz,1
25,Void Gap,1
26,"Bang Kho Laem, Bangkok",1
27,Ronderland,1
28,On Earth,1
29,"18.620519,99.047653",1
30,"Bang Mot 2, Thailand",1
31,"Songkhla, Thailand",1
32,"Stamford Bridge, England",1
33,Chonburi thailand,1
34,"จ.นครราชสีมา, ประเทศไทย",1
35,アイドルアカデミー,1
36,"บางกอกน้อย, กรุงเทพมหานคร",1
37,Amphoe Pak Kret,1
38,"ÜT: 13.804735,100.53698",1
39,"อ.เมืองเชียงใหม่, จ.เชียงใหม่",1
40,"พระนครศรีอยุธยา, ประเทศไทย",1
41,Sweat 16 💕,1
42,"Changwat Chiang Rai, Thailand",1
43,"Chiangmai,Thailand",1
44,"Samut Prakan, Thailand",1
45,"อ.สีคิ้ว, จ.นครราชสีมา",1
46,"อ.เมืองลำพูน, จ.พังงา",1
47,"Taling Chan, Bangkok",1
48,Out of Galaxy,1
49,Amphoe Mueang Rayong,1
50,หน้าผากมิวๆ,1
51,BKK,1
52,ไทยแลนด์ ปู้น ปู้น !!!,1
53,"อ.กันทรวิชัย, จ.มหาสารคาม",1
54,Amphoe Ban Rai,1
55,"Lat Phrao, Bangkok",1
56,"จ.ชลบุรี, ประเทศไทย",1
57,"Depok, Jawa Barat",1
58,"อ.ปากเกร็ด, จ.นนทบุรี",1
59,"Thung Khru, Bangkok",1
60,bangkok Thailand,1
61,"นครราชสีมา, ประเทศไทย",1
62,บริเวณดวงอาทิตย์,1
63,นักศึกษา,1
64,"จ.เชียงใหม่, ประเทศไทย",1
65,Changwat Chachoengsao,1
66,"BKK, Thailand, Earth Planet",1
67,My House,1
68,แล็บวิจัยสาหร่ายแสนน่ารัก,1
69,Peru,1
70,"BKK, Thailand",1
71,Diagon Alley,1
72,ジンくんだけ,1
73,South of Korea,1
74,"อ.เมืองมหาสารคาม, จ.มหาสารคาม",1
75,"Lam Luk Ka, Pathumtani",1
76,dp: sun zhenni (snh48),1
77,N O W,1
78,Mountain,1
79,"Juárez, Chihuahua",1
80,"Lat Krabang, Bangkok",1
81,บ้าน,1
82,Amphoe Sam Phran,1
83,จะติ่งใครก้เรื่องของข้าเจ้าคะ,1
84,Void,1
85,w=mg,1
86,"Tokyo-to, Japan",1
87,"Suanluang Bkk, Thailand",1
88,Amphoe Thung Song,1
89,"Des Moines, IOWA",1
90,"Thailand, Bangkok",1
91,กรุงเทพมหานคร ไทย,1
92,ไม่ให้เสือก,1
93,"Phang-nga, Thailand",1
94,"เมืองพัทยา, ประเทศไทย",1
95,藤江チーム M,1
96,"Changwat Chanthaburi, Thailand",1
97,Wonder Loop,1
98,"Ratchathewi, Bangkok",1
99,Penguin Village,1
100,"Phrae, Thailand",1
101,"Bang Sue, Bangkok",1
102,"Manchester, England",1
103,"Nakhon Ratchasima, Thailand",1
104,ในบ่อน้ำ เลี้ยวขวา ระวังป้อม,1
105,อยู่ในที่ที่ไม่มีเงิน,1
106,#LISMONME ,1
107,คามิซัทจังพาด้า💓,1
108,พื้นที่ที่จนที่สุดในจักรวาล,1
109,ที้ไหนซักแห่งบนโลกใบนี้,1
110,"ลั้นดั้น,บริชติส",1
111,"ÜT: 13.89199,100.6206",1
112,home,1
113,"Bang Khae, Bangkok",1
114,ติ่งเยอะเกินไบโอเขียนไม่พอออ,1
115,Jauh~,1
116,Amphoe Mueang Chon Buri,1
117,กว้าง x ยาว x สูง,1
118,"Nakhon Si Thammarat, Thailand",1
119,ประเทศไทย ,1
120,upcoming 2021,1
121,"in a galaxy far, far away...",1
122,"อ.เมืองราชบุรี, จ.ราชบุรี",1
123,ไม่บอก,1
124,Cosplayer,1
125,อ.เมืองนครราชสีมาจ.นครราชสีมา,1
126,"Rayong, Thailand",1
127,wordpress : todiary,1
128,もみじ饅頭のまちと微笑みのくに,1
129,ในใจโจว💓,1
130,btobtwicebnk48got7tenmarveltmr,1
131,"จตุจักร, กรุงเทพมหานคร",1
132,Chiangmai,1
133,"อ.เมืองนครราชสีมา, จ.นครราชสีม",1
134,"14.469009,100.116297",1
135,บนโลก,1
136,"อ.ปากช่อง, จ.นครราชสีมา",1
137,"อ.เสิงสาง, จ.นครราชสีมา",1
138,กรุงเมพมหานคร,1
139,"Phuket Province, Thailand",1
140,เบลฟาสต์,1
